date	TO	V	A	TE	P
20140601	6	3	0	0	2
20140602	15	0	0	0	12
20140603	18	1	0	0	12
20140604	30	4	0	0	7
20140605	7	3	0	0	4
20140606	2	1	0	1	2
20140607	10	4	0	0	4
