date	 time 	IWannaMarry"Harry"	Mistresses	RoyalPains	JenniferFalls	Motive	LastComicStanding	Crossbones	Satisfaction	BetonYourBaby	Undateable	MountainMen	GangRelated	MajorCrimes	EscapeClub	HaltandCatchFire	HittheFloor	Power	SoYouThinkYouCanDance	AmericasGotTalent	The100	JimmyKimmelLive	MasterChef	TheWilWheatonProject	BeautyandtheBeast	PrettyLittleLiars	KeepingUpWiththeKardashians	OrangeIstheNewBlack	
20140607	0	17	7	6	25	28	35	56	56	38	116	34	105	61	10	60	203	162	214	284	762	224	431	6329	2497	4126	5171	19745	
20140608	0	1	14	27	20	27	25	36	35	127	69	103	78	159	32	108	286	493	446	452	647	1124	1167	272	5166	10379	15242	18992	
20140609	0	5	6	5	16	7	20	4	14	36	21	133	91	71	258	273	43	28	149	137	128	253	1688	189	902	2347	23084	7766	
