date	 time 	OrangeIstheNewBlack	KeepingUpWiththeKardashians	PrettyLittleLiars	BeautyandtheBeast	TheWilWheatonProject	
20140607	0	19745	5171	4126	2497	6329	
20140608	0	18992	15242	10379	5166	272	
20140609	0	16772	31138	14045	5739	313	
