date	 time 	PrettyLittleLiars	OrangeIstheNewBlack	KeepingUpWiththeKardashians	PrettyLittleLiars	OrangeIstheNewBlack	
20140610	0	82331	17535	10600	82331	17535	
20140611	0	4331	1613	764	4331	1613	
20140612	0	547	310	368	547	310	
